Customer_ID,Churn_Probability,Predicted_LTV,Composite_Risk_Score,Segment
CUST09346,0.9922,104.32,0.9414,Losing Customer
CUST04847,0.9786,60.94,0.9411,Losing Customer
CUST06495,0.9898,89.69,0.94,Losing Customer
CUST08053,0.9864,0.0,0.9398,Losing Customer
CUST07718,0.9867,90.38,0.9395,Losing Customer
CUST05659,0.9838,0.0,0.9395,Losing Customer
CUST04521,0.9945,158.1,0.9386,Losing Customer
CUST02129,0.9855,109.85,0.9384,Losing Customer
CUST05714,0.9843,76.97,0.9381,Losing Customer
CUST03147,0.994,101.66,0.9381,Losing Customer
CUST07619,0.9813,129.63,0.9375,Losing Customer
CUST07357,0.9882,102.09,0.9368,Losing Customer
CUST06896,0.89,57.97,0.9367,Losing Customer
CUST01025,0.9961,141.37,0.9366,Losing Customer
CUST06082,0.9924,134.19,0.9363,Losing Customer
CUST05359,0.9903,0.0,0.9363,Losing Customer
CUST01701,0.9904,64.91,0.936,Losing Customer
CUST03068,0.9688,127.0,0.936,Losing Customer
CUST05313,0.9612,0.0,0.9356,Losing Customer
CUST05799,0.88,39.37,0.9355,Losing Customer
CUST05352,0.968,95.57,0.9339,Losing Customer
CUST04676,0.9801,0.0,0.9336,Losing Customer
CUST03484,0.9849,30.63,0.9327,Losing Customer
CUST05513,0.9173,69.86,0.9326,Losing Customer
CUST07341,0.989,32.04,0.9324,Losing Customer
CUST07669,0.9797,147.89,0.9321,Losing Customer
CUST08387,0.9806,84.06,0.9321,Losing Customer
CUST02472,0.993,99.36,0.9318,Losing Customer
CUST01224,0.997,100.71,0.9317,Losing Customer
CUST08782,0.9643,121.41,0.9315,Losing Customer
CUST05260,0.9883,70.85,0.9315,Losing Customer
CUST03986,0.9688,85.6,0.9289,Losing Customer
CUST01520,0.9854,63.89,0.9287,Losing Customer
CUST07621,0.9895,108.79,0.9283,Losing Customer
CUST01716,0.9812,73.17,0.9276,Losing Customer
CUST09996,0.9547,66.17,0.9274,Losing Customer
CUST02637,0.9823,121.16,0.9273,Losing Customer
CUST08345,0.9824,67.27,0.9272,Losing Customer
CUST04223,0.9653,75.22,0.9262,Losing Customer
CUST07826,0.9987,81.88,0.9261,Losing Customer
CUST02498,0.9629,22.98,0.926,Losing Customer
CUST08910,0.9959,133.13,0.9259,Losing Customer
CUST06356,0.9919,124.49,0.9259,Losing Customer
CUST01866,0.9778,46.48,0.9258,Losing Customer
CUST06759,0.9728,84.45,0.9253,Losing Customer
CUST05180,0.9875,84.06,0.9247,Losing Customer
CUST04755,0.9768,111.17,0.9246,Losing Customer
CUST05762,0.9897,90.31,0.9239,Losing Customer
CUST08065,0.9889,66.82,0.9237,Losing Customer
CUST08400,0.9741,94.88,0.9231,Losing Customer
CUST09296,0.9775,68.42,0.9225,Losing Customer
CUST05589,0.953,0.61,0.9218,Losing Customer
CUST00262,0.9455,0.07,0.9217,Losing Customer
CUST08462,0.9922,39.6,0.9212,Losing Customer
CUST08049,0.9848,118.6,0.921,Losing Customer
CUST07725,0.9705,46.52,0.9207,Losing Customer
CUST09157,0.9783,123.7,0.9206,Losing Customer
CUST06852,0.9738,113.75,0.9203,Losing Customer
CUST06100,0.9895,42.34,0.9201,Losing Customer
CUST01420,0.9707,123.14,0.9199,Losing Customer
CUST05390,0.9738,114.02,0.9188,Losing Customer
CUST02969,0.9781,105.37,0.9186,Losing Customer
CUST05284,0.9849,54.07,0.9176,Losing Customer
CUST06124,0.9846,82.65,0.917,Losing Customer
CUST09628,0.9917,0.02,0.9167,Losing Customer
CUST04192,0.9675,94.61,0.9167,Losing Customer
CUST04586,0.9894,84.06,0.9162,Losing Customer
CUST01045,0.988,109.4,0.9158,Losing Customer
CUST07455,0.9439,140.38,0.9156,Losing Customer
CUST06998,0.9743,97.82,0.9151,Losing Customer
CUST05770,0.987,83.33,0.9146,Losing Customer
CUST02516,0.9781,85.27,0.9145,Losing Customer
CUST04059,0.9923,97.65,0.9137,Losing Customer
CUST07613,0.9938,56.69,0.9135,Losing Customer
CUST03750,0.9693,107.9,0.9127,Losing Customer
CUST03699,0.9912,109.25,0.9124,Losing Customer
CUST07873,0.9507,107.73,0.9122,Losing Customer
CUST03710,0.9727,43.43,0.9119,Losing Customer
CUST00575,0.9834,81.63,0.9118,Losing Customer
CUST06769,0.9873,0.0,0.9117,Losing Customer
CUST02790,0.95,50.13,0.9112,Losing Customer
CUST09887,0.9777,122.86,0.9111,Losing Customer
CUST02787,0.995,104.73,0.9108,Losing Customer
CUST09797,0.976,96.4,0.9107,Losing Customer
CUST06418,0.9751,43.61,0.9107,Losing Customer
CUST00582,0.9778,66.82,0.9105,Losing Customer
CUST06737,0.9834,116.79,0.9101,Losing Customer
CUST09473,0.9695,133.49,0.91,Losing Customer
CUST00274,0.9589,74.97,0.9096,Losing Customer
CUST09928,0.9796,56.3,0.9093,Losing Customer
CUST03752,0.9708,0.02,0.9089,Losing Customer
CUST03082,0.9547,86.88,0.9087,Losing Customer
CUST00662,0.9873,24.78,0.9085,Losing Customer
CUST01682,0.9536,70.17,0.9084,Losing Customer
CUST01882,0.9565,50.86,0.9081,Losing Customer
CUST09997,0.9946,113.92,0.908,Losing Customer
CUST00044,0.9958,97.88,0.9078,Losing Customer
CUST00972,0.987,0.0,0.9074,Losing Customer
CUST09478,0.9535,44.28,0.9072,Losing Customer
CUST00325,0.9669,110.58,0.9068,Losing Customer
CUST05400,0.9661,75.38,0.9067,Losing Customer
CUST03395,0.9849,85.92,0.9063,Losing Customer
CUST06050,0.9662,99.38,0.9056,Losing Customer
CUST04036,0.9613,97.23,0.9056,Losing Customer
CUST01371,0.9792,130.86,0.9052,Losing Customer
CUST03392,0.9532,0.07,0.9052,Losing Customer
CUST06909,0.977,115.5,0.9051,Losing Customer
CUST03408,0.9609,42.39,0.905,Losing Customer
CUST03637,0.9658,73.71,0.9048,Losing Customer
CUST00500,0.9691,35.89,0.9038,Losing Customer
CUST07060,0.9782,123.19,0.9038,Losing Customer
CUST08448,0.9799,82.45,0.9035,Losing Customer
CUST07289,0.9683,0.07,0.9034,Losing Customer
CUST08091,0.9786,0.0,0.9033,Losing Customer
CUST08461,0.964,82.54,0.9032,Losing Customer
CUST07272,0.979,98.87,0.9025,Losing Customer
CUST04860,0.9753,121.28,0.9023,Losing Customer
CUST09552,0.9566,61.4,0.9012,Losing Customer
CUST05912,0.9924,120.64,0.9012,Losing Customer
CUST02624,0.9719,91.86,0.9008,Losing Customer
CUST00870,0.9875,61.84,0.9008,Losing Customer
CUST07219,0.9795,84.56,0.9005,Losing Customer
CUST02174,0.9526,103.53,0.9002,Losing Customer
CUST08020,0.9889,143.93,0.9,Losing Customer
CUST04385,0.9927,0.07,0.8997,Losing Customer
CUST07229,0.9132,78.1,0.8995,Losing Customer
CUST03197,0.9947,51.14,0.8988,Losing Customer
CUST01686,0.9855,48.6,0.8987,Losing Customer
CUST00938,0.9575,82.28,0.8982,Losing Customer
CUST00569,0.9726,112.37,0.8981,Losing Customer
CUST09211,0.9736,37.25,0.8978,Losing Customer
CUST07596,0.9403,68.86,0.8977,Losing Customer
CUST05025,0.8962,141.27,0.8972,Losing Customer
CUST01105,0.9639,92.02,0.8972,Losing Customer
CUST01755,0.985,81.74,0.8968,Losing Customer
CUST07199,0.982,43.81,0.8966,Losing Customer
CUST08004,0.9766,110.84,0.8966,Losing Customer
CUST05884,0.9841,102.49,0.8963,Losing Customer
CUST08128,0.9877,77.26,0.8959,Losing Customer
CUST06118,0.9499,116.07,0.8955,Losing Customer
CUST05538,0.9815,94.09,0.8953,Losing Customer
CUST05110,0.969,108.33,0.8951,Losing Customer
CUST01997,0.9588,72.92,0.8945,Losing Customer
CUST00536,0.9807,0.0,0.8944,Losing Customer
CUST06013,0.9885,111.74,0.8944,Losing Customer
CUST01917,0.9697,99.82,0.8942,Losing Customer
CUST00242,0.9912,85.08,0.8934,Losing Customer
CUST09905,0.9938,0.0,0.893,Losing Customer
CUST03193,0.9892,128.72,0.8929,Losing Customer
CUST07866,0.9845,79.15,0.8929,Losing Customer
CUST02315,0.9902,87.33,0.8924,Losing Customer
CUST03931,0.9891,76.96,0.8923,Losing Customer
CUST04734,0.9488,94.29,0.8918,Losing Customer
CUST01181,0.9651,0.0,0.8916,Losing Customer
CUST03505,0.9494,30.53,0.8915,Losing Customer
CUST03289,0.9817,116.54,0.8909,Losing Customer
CUST09022,0.9186,72.31,0.8903,Losing Customer
CUST00474,0.9691,125.15,0.8903,Losing Customer
CUST07999,0.9814,73.08,0.8902,Losing Customer
CUST02871,0.9837,100.82,0.8901,Losing Customer
CUST04049,0.9128,93.8,0.89,Losing Customer
CUST06729,0.976,115.38,0.89,Losing Customer
CUST01719,0.9736,82.57,0.8899,Losing Customer
CUST08851,0.9614,95.23,0.889,Losing Customer
CUST06410,0.9828,129.76,0.889,Losing Customer
CUST02836,0.9772,109.46,0.8889,Losing Customer
CUST03198,0.9952,125.78,0.8888,Losing Customer
CUST01428,0.9168,91.62,0.8887,Losing Customer
CUST05748,0.9817,96.27,0.8886,Losing Customer
CUST00193,0.9621,0.0,0.8885,Losing Customer
CUST06400,0.916,86.05,0.8879,Losing Customer
CUST07510,0.985,0.0,0.8879,Losing Customer
CUST05699,0.9666,96.36,0.8875,Losing Customer
CUST00257,0.9847,0.0,0.8869,Losing Customer
CUST09743,0.9755,68.06,0.8867,Losing Customer
CUST00179,0.9724,85.07,0.8861,Losing Customer
CUST09985,0.9544,27.52,0.8856,Losing Customer
CUST06402,0.9904,84.15,0.8855,Losing Customer
CUST09912,0.9838,37.08,0.8855,Losing Customer
CUST05749,0.9329,52.32,0.8851,Losing Customer
CUST05342,0.9782,153.88,0.8849,Losing Customer
CUST01055,0.9791,131.13,0.8845,Losing Customer
CUST02758,0.981,42.43,0.8844,Losing Customer
CUST04315,0.9331,64.0,0.8843,Losing Customer
CUST00241,0.975,57.0,0.884,Losing Customer
CUST02198,0.9773,0.0,0.8834,Losing Customer
CUST02245,0.9495,91.69,0.8831,Losing Customer
CUST05789,0.9946,39.11,0.8829,Losing Customer
CUST04518,0.9536,57.43,0.8829,Losing Customer
CUST01560,0.9816,130.02,0.8828,Losing Customer
CUST04109,0.9786,138.97,0.8823,Losing Customer
CUST09198,0.9733,0.0,0.8822,Losing Customer
CUST00089,0.9858,55.73,0.882,Losing Customer
CUST08329,0.9901,86.12,0.882,Losing Customer
CUST06272,0.9839,83.9,0.8818,Losing Customer
CUST00948,0.9877,79.53,0.8817,Losing Customer
CUST05899,0.9897,96.23,0.8815,Losing Customer
CUST08317,0.9935,90.64,0.8811,Losing Customer
CUST02473,0.988,111.34,0.881,Losing Customer
CUST03238,0.9554,104.27,0.8806,Losing Customer
CUST07925,0.9912,99.35,0.8802,Losing Customer
CUST05594,0.9927,0.0,0.8795,Losing Customer
CUST08399,0.9884,46.72,0.8793,Losing Customer
CUST06228,0.9749,31.54,0.8792,Losing Customer
CUST08402,0.9837,98.78,0.879,Losing Customer
CUST01198,0.9315,99.5,0.8785,Losing Customer
CUST04924,0.9637,85.31,0.878,Losing Customer
CUST09529,0.993,29.65,0.878,Losing Customer
CUST02045,0.9914,140.6,0.878,Losing Customer
CUST00706,0.97,0.0,0.8779,Losing Customer
CUST02234,0.9615,78.02,0.8777,Losing Customer
CUST01383,0.9753,79.88,0.8775,Losing Customer
CUST04158,0.9671,62.51,0.8775,Losing Customer
CUST06023,0.9458,44.03,0.8772,Losing Customer
CUST07692,0.9965,49.81,0.8771,Losing Customer
CUST07388,0.9555,0.0,0.877,Losing Customer
CUST07911,0.9786,26.06,0.8767,Losing Customer
CUST06841,0.9739,74.97,0.8765,Losing Customer
CUST03396,0.9745,38.51,0.8765,Losing Customer
CUST07951,0.9818,63.8,0.8764,Losing Customer
CUST05543,0.9889,117.25,0.8764,Losing Customer
CUST06071,0.9945,109.2,0.8764,Losing Customer
CUST07594,0.9505,47.13,0.8762,Losing Customer
CUST00113,0.974,81.74,0.8761,Losing Customer
CUST03365,0.9943,104.86,0.8761,Losing Customer
CUST00949,0.9796,45.39,0.8758,Losing Customer
CUST04270,0.9628,64.91,0.8757,Losing Customer
CUST09922,0.9673,84.9,0.8757,Losing Customer
CUST04812,0.984,112.33,0.8755,Losing Customer
CUST05146,0.9737,91.24,0.8755,Losing Customer
CUST05741,0.9842,89.9,0.8754,Losing Customer
CUST03477,0.9407,31.07,0.8751,Losing Customer
CUST06395,0.9637,48.05,0.8745,Losing Customer
CUST09615,0.9386,44.28,0.8745,Losing Customer
CUST06767,0.9804,127.82,0.8743,Losing Customer
CUST03687,0.9555,71.6,0.874,Losing Customer
CUST09387,0.9874,42.78,0.8739,Losing Customer
CUST00848,0.9912,68.13,0.8736,Losing Customer
CUST09130,0.8688,72.68,0.8735,Losing Customer
CUST09458,0.9774,76.94,0.8733,Losing Customer
CUST06652,0.9817,84.19,0.873,Losing Customer
CUST08090,0.968,67.64,0.8727,Losing Customer
CUST07961,0.9743,68.64,0.8724,Losing Customer
CUST09837,0.9821,138.18,0.8723,Losing Customer
CUST03000,0.9231,47.13,0.8719,Losing Customer
CUST07716,0.9473,0.0,0.8717,Losing Customer
CUST09784,0.9693,111.6,0.8716,Losing Customer
CUST07797,0.9775,0.0,0.871,Losing Customer
CUST09056,0.9794,101.44,0.8708,Losing Customer
CUST00532,0.9781,54.14,0.8708,Losing Customer
CUST09916,0.9681,98.84,0.8707,Losing Customer
CUST07544,0.9591,89.47,0.8707,Losing Customer
CUST03887,0.9773,82.36,0.8706,Losing Customer
CUST02382,0.9663,90.5,0.8706,Losing Customer
CUST05794,0.975,83.74,0.8706,Losing Customer
CUST07971,0.9878,130.38,0.8699,Losing Customer
CUST09863,0.9946,84.52,0.8698,Losing Customer
CUST08148,0.9898,144.67,0.8693,Losing Customer
CUST09585,0.9944,100.17,0.869,Losing Customer
CUST06875,0.9919,41.68,0.8682,Losing Customer
CUST06870,0.9801,49.69,0.8681,Losing Customer
CUST00854,0.7547,55.09,0.8681,Losing Customer
CUST06203,0.939,124.2,0.868,Losing Customer
CUST01545,0.9957,117.35,0.8677,Losing Customer
CUST05403,0.9826,97.74,0.8674,Losing Customer
CUST05570,0.9898,131.1,0.8674,Losing Customer
CUST05324,0.9845,111.99,0.867,Losing Customer
CUST06316,0.9824,114.74,0.8669,Losing Customer
CUST00056,0.9798,100.78,0.8663,Losing Customer
CUST02488,0.9851,89.77,0.8661,Losing Customer
CUST05622,0.9253,127.91,0.866,Losing Customer
CUST00869,0.9913,71.29,0.8655,Losing Customer
CUST05228,0.9601,0.0,0.8653,Losing Customer
CUST04469,0.9915,89.38,0.8652,Losing Customer
CUST00490,0.9939,114.71,0.8644,Losing Customer
CUST01469,0.9895,106.95,0.8643,Losing Customer
CUST04302,0.975,52.78,0.8642,Losing Customer
CUST09778,0.9644,56.76,0.8638,Losing Customer
CUST01773,0.9724,94.56,0.8638,Losing Customer
CUST02395,0.9862,106.62,0.8637,Losing Customer
CUST06404,0.9882,85.5,0.8633,Losing Customer
CUST05468,0.9851,95.09,0.863,Losing Customer
CUST03790,0.9973,95.79,0.8624,Losing Customer
CUST04683,0.977,57.62,0.862,Losing Customer
CUST05279,0.965,72.48,0.8616,Losing Customer
CUST08497,0.9761,87.6,0.8616,Losing Customer
CUST00250,0.9599,83.23,0.8612,Losing Customer
CUST04618,0.9909,0.0,0.8608,Losing Customer
CUST03335,0.9857,94.67,0.8605,Losing Customer
CUST06293,0.9937,90.05,0.8602,Losing Customer
CUST02512,0.9727,48.1,0.8597,Losing Customer
CUST04446,0.9813,68.43,0.8597,Losing Customer
CUST01335,0.99,84.99,0.8594,Losing Customer
CUST08484,0.9874,137.68,0.8594,Losing Customer
CUST09191,0.9653,52.8,0.8593,Losing Customer
CUST01635,0.9822,125.6,0.8593,Losing Customer
CUST07045,0.9714,74.81,0.8592,Losing Customer
CUST05194,0.9944,76.47,0.8591,Losing Customer
CUST00552,0.9766,51.84,0.8589,Losing Customer
CUST03386,0.9754,62.94,0.8586,Losing Customer
CUST08252,0.964,137.44,0.8585,Losing Customer
CUST09726,0.9747,0.0,0.8584,Losing Customer
CUST01786,0.9591,0.0,0.8581,Losing Customer
CUST09763,0.9636,107.65,0.858,Losing Customer
CUST05211,0.8872,70.48,0.8579,Losing Customer
CUST06040,0.9132,58.17,0.8576,Losing Customer
CUST07100,0.9901,62.83,0.8574,Losing Customer
CUST04145,0.9953,0.0,0.857,Losing Customer
CUST08040,0.9599,90.82,0.857,Losing Customer
CUST06006,0.9852,81.96,0.857,Losing Customer
CUST06797,0.9661,88.68,0.8567,Losing Customer
CUST06355,0.9722,122.21,0.8562,Losing Customer
CUST03116,0.9926,0.0,0.8559,Losing Customer
CUST00412,0.9872,86.22,0.8558,Losing Customer
CUST01456,0.9662,76.25,0.8558,Losing Customer
CUST02409,0.9872,33.28,0.8556,Losing Customer
CUST03527,0.9068,62.7,0.8552,Losing Customer
CUST07906,0.8215,62.08,0.8549,Losing Customer
CUST01672,0.9867,59.44,0.8546,Losing Customer
CUST03847,0.9667,0.0,0.8545,Losing Customer
CUST03628,0.9913,0.0,0.8543,Losing Customer
CUST06348,0.9841,83.78,0.8542,Losing Customer
CUST04472,0.9936,64.58,0.8542,Losing Customer
CUST09616,0.9532,118.1,0.8536,Losing Customer
CUST06406,0.9707,62.4,0.8533,Losing Customer
CUST04257,0.9892,64.66,0.8529,Losing Customer
CUST08161,0.9895,95.18,0.8529,Losing Customer
CUST00465,0.9775,66.6,0.8525,Losing Customer
CUST06289,0.9259,47.69,0.8524,Losing Customer
CUST03776,0.979,101.91,0.8523,Losing Customer
CUST00306,0.9632,50.04,0.8521,Losing Customer
CUST05444,0.9464,62.97,0.8521,Losing Customer
CUST08129,0.9782,74.12,0.852,Losing Customer
CUST01865,0.9794,126.87,0.852,Losing Customer
CUST04933,0.9891,105.67,0.8518,Losing Customer
CUST07205,0.9813,85.73,0.8518,Losing Customer
CUST05812,0.9893,100.18,0.8516,Losing Customer
CUST03802,0.8304,60.2,0.8514,Losing Customer
CUST07221,0.969,53.27,0.8512,Losing Customer
CUST04563,0.9491,78.42,0.851,Losing Customer
CUST07137,0.9853,108.71,0.8509,Losing Customer
CUST01624,0.9835,112.98,0.8508,Losing Customer
CUST00253,0.9919,0.0,0.8508,Losing Customer
CUST05248,0.9811,130.51,0.8507,Losing Customer
CUST04817,0.9737,109.39,0.8506,Losing Customer
CUST01302,0.9747,42.06,0.8506,Losing Customer
CUST08517,0.9706,97.6,0.8504,Losing Customer
CUST00337,0.8985,107.71,0.85,Losing Customer
CUST01426,0.9694,131.72,0.8498,Losing Customer
CUST02996,0.9724,0.0,0.8498,Losing Customer
CUST03204,0.9792,106.56,0.8498,Losing Customer
CUST09029,0.992,120.92,0.8494,Losing Customer
CUST06111,0.9918,39.5,0.8493,Losing Customer
CUST09218,0.964,123.42,0.8489,Losing Customer
CUST07629,0.9787,31.83,0.8488,Losing Customer
CUST06526,0.9903,80.96,0.8483,Losing Customer
CUST08249,0.9767,109.74,0.8481,Losing Customer
CUST08764,0.9823,41.52,0.848,Losing Customer
CUST09550,0.955,120.8,0.848,Losing Customer
CUST06144,0.9505,79.53,0.8479,Losing Customer
CUST04250,0.9835,103.81,0.8477,Losing Customer
CUST02658,0.9748,112.69,0.8477,Losing Customer
CUST04803,0.9763,126.28,0.8471,Losing Customer
CUST08583,0.9905,36.58,0.8465,Losing Customer
CUST09391,0.9704,110.97,0.8465,Losing Customer
CUST04609,0.9506,82.19,0.8464,Losing Customer
CUST07227,0.9559,112.68,0.8463,Losing Customer
CUST07124,0.9723,111.08,0.8461,Losing Customer
CUST02305,0.9695,93.1,0.8458,Losing Customer
CUST01467,0.9814,59.68,0.8458,Losing Customer
CUST00489,0.9787,118.7,0.8457,Losing Customer
CUST00815,0.9741,0.0,0.8455,Losing Customer
CUST00716,0.9917,0.0,0.8455,Losing Customer
CUST06113,0.9937,109.5,0.8455,Losing Customer
CUST03741,0.9766,84.22,0.8455,Losing Customer
CUST09205,0.9633,111.47,0.8454,Losing Customer
CUST00486,0.9781,70.54,0.8453,Losing Customer
CUST04338,0.9914,117.0,0.8447,Losing Customer
CUST05565,0.9882,77.55,0.8445,Losing Customer
CUST04322,0.9927,83.27,0.8439,Losing Customer
CUST05189,0.9608,100.67,0.8437,Losing Customer
CUST01663,0.9783,70.81,0.8436,Losing Customer
CUST00519,0.9817,102.4,0.8434,Losing Customer
CUST06644,0.9712,85.05,0.8434,Losing Customer
CUST09359,0.8936,80.8,0.8433,Losing Customer
CUST02854,0.986,89.46,0.8432,Losing Customer
CUST07167,0.9779,53.52,0.8431,Losing Customer
CUST07737,0.9645,0.0,0.8428,Losing Customer
CUST06327,0.9517,134.3,0.8424,Losing Customer
CUST08567,0.9549,40.71,0.8421,Losing Customer
CUST09939,0.989,96.45,0.8421,Losing Customer
CUST02504,0.9915,38.73,0.8421,Losing Customer
CUST09126,0.9909,53.67,0.842,Losing Customer
CUST06983,0.9836,42.6,0.842,Losing Customer
CUST08839,0.9811,40.38,0.8419,Losing Customer
CUST06766,0.9734,100.3,0.8419,Losing Customer
CUST06818,0.9838,61.04,0.8407,Losing Customer
CUST00122,0.9795,77.53,0.8406,Losing Customer
CUST05608,0.9923,44.68,0.8403,Losing Customer
CUST05490,0.9811,71.25,0.8403,Losing Customer
CUST06715,0.9665,122.68,0.8402,Losing Customer
CUST02980,0.9955,100.01,0.84,Losing Customer
CUST00081,0.9861,94.46,0.84,Losing Customer
CUST05366,0.9687,122.16,0.84,Losing Customer
CUST03353,0.967,103.36,0.8397,Losing Customer
CUST02639,0.9676,31.6,0.8397,Losing Customer
CUST07678,0.9789,89.2,0.8396,Losing Customer
CUST01551,0.9886,35.34,0.8395,Losing Customer
CUST07566,0.8104,58.31,0.8394,Losing Customer
CUST07495,0.9532,40.59,0.8394,Losing Customer
CUST04727,0.9568,115.3,0.8387,Losing Customer
CUST00468,0.9719,112.45,0.8386,Losing Customer
CUST04422,0.9832,77.28,0.8385,Losing Customer
CUST08715,0.9796,98.1,0.8384,Losing Customer
CUST02192,0.9944,103.98,0.8381,Losing Customer
CUST02287,0.9854,37.64,0.8381,Losing Customer
CUST01325,0.9571,0.0,0.8374,Losing Customer
CUST01368,0.9722,0.0,0.8372,Losing Customer
CUST01231,0.9558,63.1,0.8372,Losing Customer
CUST03497,0.9852,90.71,0.8371,Losing Customer
CUST02789,0.9884,122.01,0.837,Losing Customer
CUST01976,0.9824,87.87,0.8367,Losing Customer
CUST00808,0.973,72.75,0.8367,Losing Customer
CUST05427,0.9568,126.24,0.8366,Losing Customer
CUST07819,0.9828,81.85,0.8366,Losing Customer
CUST05244,0.9695,84.35,0.8365,Losing Customer
CUST04620,0.9838,119.01,0.8364,Losing Customer
CUST05202,0.9911,129.6,0.8364,Losing Customer
CUST04287,0.9876,39.87,0.8363,Losing Customer
CUST06787,0.9782,0.0,0.8362,Losing Customer
CUST01137,0.9557,69.23,0.8361,Losing Customer
CUST02739,0.9652,84.59,0.8356,Losing Customer
CUST03077,0.9709,117.35,0.8348,Losing Customer
CUST03038,0.9909,65.31,0.8344,Losing Customer
CUST01049,0.9805,58.87,0.8343,Losing Customer
CUST08041,0.97,83.54,0.8342,Losing Customer
CUST01221,0.9659,100.51,0.8341,Losing Customer
CUST08610,0.9822,33.85,0.8341,Losing Customer
CUST03097,0.9884,119.67,0.8338,Losing Customer
CUST07551,0.9714,87.34,0.8338,Losing Customer
CUST03609,0.9514,78.35,0.8338,Losing Customer
CUST09691,0.9853,123.17,0.8334,Losing Customer
CUST08428,0.9557,108.33,0.8332,Losing Customer
CUST04463,0.9751,83.78,0.833,Losing Customer
CUST06740,0.9819,110.02,0.8329,Losing Customer
CUST02023,0.8504,36.96,0.8327,Losing Customer
CUST02352,0.9786,63.61,0.8326,Losing Customer
CUST03885,0.989,97.6,0.8326,Losing Customer
CUST02452,0.9756,146.48,0.8324,Losing Customer
CUST07974,0.9545,0.0,0.8324,Losing Customer
CUST06935,0.982,65.78,0.8322,Losing Customer
CUST06380,0.9871,88.88,0.8321,Losing Customer
CUST04128,0.9695,110.17,0.832,Losing Customer
CUST09111,0.9477,75.57,0.832,Losing Customer
CUST00391,0.9766,68.54,0.8312,Losing Customer
CUST05040,0.9761,72.51,0.8311,Losing Customer
CUST00811,0.9869,57.67,0.8304,Losing Customer
CUST01668,0.9886,134.58,0.8301,Losing Customer
CUST02345,0.9899,35.83,0.8301,Losing Customer
CUST02785,0.8168,47.85,0.8301,Losing Customer
CUST01053,0.9767,104.58,0.83,Losing Customer
CUST06921,0.9811,116.87,0.83,Losing Customer
CUST05265,0.9307,133.53,0.8299,Losing Customer
CUST08756,0.9828,32.73,0.8299,Losing Customer
CUST08719,0.9771,149.58,0.8298,Losing Customer
CUST02430,0.9815,77.2,0.8298,Losing Customer
CUST01102,0.969,59.1,0.8295,Losing Customer
CUST08138,0.9898,51.75,0.8294,Losing Customer
CUST03439,0.8469,33.28,0.8294,Losing Customer
CUST00749,0.9779,122.27,0.8293,Losing Customer
CUST03445,0.9612,95.61,0.8288,Losing Customer
CUST06232,0.9501,87.37,0.8284,Losing Customer
CUST08701,0.9914,44.61,0.8281,Losing Customer
